id,charged_off
43373,0
24414,0
46723,0
24878,0
39038,0
36809,1
24005,0
13722,0
26082,0
16701,0
11504,0
49127,0
14626,0
23189,0
19667,0
39343,0
27322,0
34549,1
21211,0
38196,0
36648,0
24423,0
37588,0
41744,0
39727,0
42693,1
23510,0
41061,1
54681,0
31437,0
52508,0
15715,0
51871,1
52190,0
40962,0
47373,0
34459,1
45300,1
34716,0
37578,0
32602,0
21259,0
55160,1
14554,0
42481,0
30200,0
56973,0
54415,0
39869,0
39505,1
49668,0
38356,0
26120,1
40458,0
45323,0
55754,0
46093,0
27655,0
47043,0
11703,0
47434,0
26205,0
33190,0
44141,0
40912,0
43124,0
42237,0
26689,0
38368,0
31693,0
40197,0
14982,0
55552,0
57170,0
50015,0
36354,0
34210,0
13496,0
13400,0
39854,0
11846,0
44814,0
21373,0
41123,0
27468,0
25492,0
44143,0
11542,0
34123,0
49676,0
18113,0
34095,0
34441,0
49390,0
32995,0
46026,0
25220,0
41773,0
36309,0
23315,0
26849,0
43235,1
23996,0
14881,1
56001,0
10209,0
15720,0
56409,1
23722,0
38183,0
15844,1
22708,1
13817,0
47810,0
21458,0
54330,0
30838,0
12108,0
17149,0
29753,0
14655,0
48027,0
31390,0
23252,0
34494,0
39538,0
13237,0
32588,0
16914,0
38583,0
37645,0
26319,0
43863,0
45354,1
42664,0
35373,1
53543,0
54046,0
49800,0
11493,0
36762,0
15956,0
22481,0
19113,0
54312,0
11800,0
40879,0
10383,0
24622,0
38817,1
29673,0
28977,1
27659,0
20283,0
28558,0
18184,0
21098,0
16299,1
31408,0
36300,1
42445,0
51061,0
33734,0
46107,0
19039,1
16727,0
24931,0
14041,0
33906,0
32424,0
34120,0
38740,0
15796,1
30520,0
39423,1
41834,0
10129,0
23601,1
13656,0
23538,0
43658,0
41475,0
47703,1
28224,1
28117,0
31372,0
49406,0
11460,0
52447,0
52877,0
52504,0
33921,0
53834,0
26656,0
26889,0
21428,0
15331,1
49681,0
26229,0
21848,0
26281,0
34828,0
19950,0
45291,0
12782,0
55907,0
44692,0
24855,0
46271,0
41626,0
35190,0
18467,0
26482,0
38656,0
27055,0
30260,0
20276,0
32256,0
32320,1
32723,0
20224,1
24527,0
35047,0
14974,0
20898,1
23647,0
28599,0
46662,0
47682,0
35766,1
26035,0
20792,0
56995,0
42504,0
17105,0
16446,0
55781,0
17750,0
32233,0
23479,0
13243,0
35074,0
37887,0
51097,0
10852,0
14984,0
22040,0
45571,1
26536,0
22785,0
31070,1
44745,0
33238,1
40644,0
53534,0
10251,0
47389,0
40815,0
13574,0
29871,0
54430,0
10396,0
25463,0
55177,1
20054,0
51251,0
24954,0
28226,0
26216,0
41984,0
17103,0
13932,0
32876,0
45105,0
28199,0
50975,0
32645,0
16352,0
38969,0
47539,1
36854,0
23775,0
21214,0
40555,1
40460,0
37327,0
52727,0
39635,1
44752,0
11764,0
36250,0
24172,0
38967,1
14404,0
31361,0
37032,0
41009,0
18342,0
20237,0
49094,0
40226,1
49191,0
16869,0
11898,0
16904,0
15231,0
28118,0
23604,0
54099,0
46042,0
56681,0
13079,0
15994,0
16719,0
18089,1
44505,0
32506,1
46503,0
34875,0
20165,0
52575,0
36754,0
30352,0
29694,0
28570,1
39522,0
26076,0
39838,0
20833,0
21333,0
23950,1
15079,0
56922,1
49003,0
22406,0
41266,0
18224,0
28394,0
34237,0
13519,0
50398,0
11823,0
12688,0
25513,0
33236,1
44777,0
15049,0
22015,0
30899,0
15924,0
50770,1
42317,0
38893,1
32463,0
45129,1
35609,1
34858,0
56161,0
52111,1
37115,0
18001,0
30758,0
27387,0
53492,0
31407,1
35215,1
24646,0
45957,0
32777,0
26126,0
21934,0
44314,1
56415,0
40623,0
44401,0
50761,1
17311,0
52253,0
54566,0
42967,0
50005,0
24719,1
33092,0
32054,0
52621,0
31599,0
53713,0
54154,0
41715,0
43589,0
23739,0
13619,0
56365,0
23167,0
51930,0
54196,0
45895,0
13683,0
48865,0
42853,1
28270,0
12594,0
52423,0
23573,0
11043,0
42613,0
38088,0
18576,0
44358,0
53613,0
30827,1
22706,0
53460,0
53284,1
24534,0
44014,0
12641,1
15007,0
10601,0
47863,0
24049,0
17056,0
22046,0
35967,0
26095,0
24654,1
30599,0
46102,0
46551,0
16751,0
35746,0
38072,0
27739,0
18762,0
22147,0
13182,0
33658,1
39679,0
41731,0
34677,0
35151,0
22749,1
29379,0
43193,0
36226,0
19196,0
37751,0
35006,0
11766,1
40381,0
43537,0
33245,0
37070,0
18925,0
14017,0
39490,0
11926,0
15915,0
15379,0
11590,0
54319,0
54406,0
50109,0
36006,0
56245,0
10677,0
23971,0
39187,0
51933,0
16189,0
17104,0
21503,0
53063,0
46945,0
17061,0
31193,0
40587,1
24297,0
14771,0
50778,1
15700,0
30996,0
13848,0
27896,0
50408,0
21684,0
18228,0
32531,1
19118,0
13357,1
50226,0
53630,0
37288,0
14624,0
33615,0
23206,0
37063,0
39155,0
17226,0
53499,1
12002,0
31398,0
49637,0
14496,0
13951,1
13575,0
52104,0
55085,0
34724,0
38725,0
38050,0
12235,1
10647,0
17591,1
27410,0
47037,1
16925,1
49929,1
35797,0
33965,0
35377,0
53237,0
19383,0
27432,1
50629,0
33825,1
24963,0
24690,0
46150,0
42443,0
16393,0
50047,0
21976,0
10065,0
51522,0
12986,0
46831,1
40405,0
26998,0
47652,0
47073,0
10719,0
20243,0
50734,0
16076,1
28358,0
32440,0
16943,0
24825,0
35525,0
56902,0
16982,0
22438,0
16129,1
55630,0
13862,0
38617,0
16071,0
29075,0
19656,0
14750,0
47808,0
12407,0
54204,1
13132,0
52126,0
51788,0
25227,0
13386,0
22356,0
37626,1
15928,0
43559,1
56950,1
55791,1
52451,0
16797,0
49641,1
29612,1
12962,0
29791,0
48030,0
16522,0
18568,1
30198,1
33296,0
47212,0
51568,0
18699,0
43808,0
20033,0
48692,0
42104,0
56686,1
56547,0
38953,0
34475,0
52820,0
48136,0
39069,0
49572,0
17752,0
39817,0
43070,0
32376,0
18520,0
49659,1
15021,0
13024,0
10994,0
16141,0
48120,0
13070,0
27898,0
54447,0
43411,0
37035,0
36534,0
25184,0
34911,0
51880,0
29209,0
52581,0
21752,1
10857,0
32638,1
27851,0
47913,0
16748,0
33225,0
56770,0
12438,0
34135,0
56054,0
25133,0
24914,0
55867,0
48598,0
31686,0
45630,0
40734,0
40575,0
29087,0
56147,0
14564,0
13576,0
21183,0
17593,0
28283,0
42800,0
55427,0
16494,0
40959,0
20805,0
28746,1
52482,0
29579,0
49617,0
53619,1
29308,0
37961,0
35763,0
28780,0
50082,0
51598,0
37051,1
17242,0
54751,0
40941,0
51229,0
45639,1
40719,0
46014,0
50338,0
24632,0
24904,0
18305,0
21408,0
48207,0
28414,0
53698,0
44920,0
45669,1
52800,0
15510,0
19808,0
38556,0
32962,0
12346,1
44527,1
35727,0
42737,0
12648,0
46483,0
55694,0
18722,0
52114,0
22860,0
34277,1
45367,0
29149,0
15475,0
50330,0
14018,0
33750,0
37597,0
20720,0
33668,0
16231,0
41307,0
17049,0
45649,0
44554,0
28048,0
29874,0
45314,0
29849,0
37234,0
18269,0
50627,0
34663,0
32898,0
55416,0
47437,1
32411,0
17355,0
53521,0
50807,0
52109,0
12536,0
17650,0
38342,1
38448,0
39518,0
12393,0
37796,0
50948,0
53944,0
38655,0
21509,1
23071,0
46222,0
55973,1
14659,0
47102,0
37666,0
15174,0
19503,0
56478,0
12943,0
50528,0
22138,1
35706,0
46166,0
16542,1
10629,0
55965,0
42923,0
33160,1
42712,0
30698,0
19371,0
14719,0
33187,0
19067,0
55936,0
17234,0
38141,1
15638,0
49301,0
32755,0
21381,0
43208,0
34339,0
39509,0
25277,0
52962,1
45137,0
50711,0
52091,0
39515,0
26484,0
10274,0
30009,0
33327,0
20631,0
37764,0
30460,0
19940,0
11399,0
23983,0
23564,1
46645,0
51590,0
23881,0
37510,0
21129,0
26256,0
46471,1
13878,0
50642,0
50957,0
21653,0
39138,0
31116,0
46454,0
47498,0
31997,0
41750,0
10319,0
17397,0
19188,0
25317,0
43620,0
21069,1
35771,0
15662,0
15224,1
27244,0
39610,0
27537,1
50933,0
23633,0
22864,0
19229,0
23959,0
10435,0
47018,0
30655,0
48330,0
13963,0
27037,0
51104,1
46281,0
11181,0
38200,0
10431,0
35845,0
27939,1
36094,0
14712,0
36498,0
37193,0
21182,0
33551,0
50505,0
28852,0
51084,0
17102,0
17507,0
15974,1
37607,0
24553,0
30781,0
41806,1
29511,0
53105,0
53315,0
44487,0
32149,0
19308,0
35144,0
41742,0
16558,0
22063,0
54664,0
42810,0
53983,0
11368,0
14065,0
47736,0
18095,0
27145,0
45311,0
15979,0
36687,1
12620,0
45196,1
45558,0
40096,1
12339,0
38393,0
29916,0
24960,1
18631,0
46036,0
24964,0
51942,0
53916,0
47256,1
55976,0
17335,0
54459,0
33443,0
33390,0
37379,0
26472,0
39629,1
11077,0
43960,1
21924,1
35003,0
40285,0
28741,0
24557,0
39264,0
25839,0
46523,1
27801,0
33940,0
44662,0
54345,0
50577,0
56587,0
56095,0
16433,1
27671,0
35283,0
45219,0
48165,0
56444,0
39623,0
22497,0
47724,0
10501,0
48911,0
23707,1
39916,0
27141,0
17203,0
14103,1
44921,0
45162,0
53370,1
